ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C50029,12.0,,age < 50,
C50111,12.0,,age >= 50,
C50111,12.0,,age < 50,
C50112,12.0,,age >= 50,
C50112,12.0,,age < 50,
C50119,12.0,,age >= 50,
C50119,12.0,,age < 50,
C50121,12.0,,age >= 50,
C50121,12.0,,age < 50,
C50122,12.0,,age >= 50,
C50122,12.0,,age < 50,
C50129,12.0,,age >= 50,
C50129,12.0,,age < 50,
C50211,12.0,,age >= 50,
C50211,12.0,,age < 50,
C50212,12.0,,age >= 50,
C50212,12.0,,age < 50,
C50219,12.0,,age >= 50,
C50219,12.0,,age < 50,
C50221,12.0,,age >= 50,
C50221,12.0,,age < 50,
C50222,12.0,,age >= 50,
C50222,12.0,,age < 50,
C50229,12.0,,age >= 50,
C50229,12.0,,age < 50,
C50311,12.0,,age >= 50,
C50311,12.0,,age < 50,
C50312,12.0,,age >= 50,
C50312,12.0,,age < 50,
C50319,12.0,,age >= 50,
C50319,12.0,,age < 50,
C50321,12.0,,age >= 50,
C50321,12.0,,age < 50,
C50322,12.0,,age >= 50,
C50322,12.0,,age < 50,
C50329,12.0,,age >= 50,
C50329,12.0,,age < 50,
C50411,12.0,,age >= 50,
C50411,12.0,,age < 50,
C50412,12.0,,age >= 50,
C50412,12.0,,age < 50,
C50419,12.0,,age >= 50,
C50419,12.0,,age < 50,
C50421,12.0,,age >= 50,
C50421,12.0,,age < 50,
C50422,12.0,,age >= 50,
C50422,12.0,,age < 50,
C50429,12.0,,age >= 50,
C50429,12.0,,age < 50,
C50511,12.0,,age >= 50,
C50511,12.0,,age < 50,
C50512,12.0,,age >= 50,
C50512,12.0,,age < 50,
C50519,12.0,,age >= 50,
C50519,12.0,,age < 50,
C50521,12.0,,age >= 50,
C50521,12.0,,age < 50,
C50522,12.0,,age >= 50,
C50522,12.0,,age < 50,
C50529,12.0,,age >= 50,
C50529,12.0,,age < 50,
C50611,12.0,,age >= 50,
C50611,12.0,,age < 50,
C50612,12.0,,age >= 50,
C50612,12.0,,age < 50,
C50619,12.0,,age >= 50,
C50619,12.0,,age < 50,
C50621,12.0,,age >= 50,
C50621,12.0,,age < 50,
C50622,12.0,,age >= 50,
C50622,12.0,,age < 50,
C50629,12.0,,age >= 50,
C50629,12.0,,age < 50,
C50811,12.0,,age >= 50,
C50811,12.0,,age < 50,
C50812,12.0,,age >= 50,
C50812,12.0,,age < 50,
C50819,12.0,,age >= 50,
C50819,12.0,,age < 50,
C50821,12.0,,age >= 50,
C50821,12.0,,age < 50,
C50822,12.0,,age >= 50,
C50822,12.0,,age < 50,
C50829,12.0,,age >= 50,
C50829,12.0,,age < 50,
C50911,12.0,,age >= 50,
C50911,12.0,,age < 50,
C50912,12.0,,age >= 50,
C50912,12.0,,age < 50,
C50919,12.0,,age >= 50,
C50919,12.0,,age < 50,
C50921,12.0,,age >= 50,
C50921,12.0,,age < 50,
C50922,12.0,,age >= 50,
C50922,12.0,,age < 50,
C50929,12.0,,age >= 50,
C50929,12.0,,age < 50,
C50A0,12.0,,age >= 50,
C50A0,12.0,,age < 50,
C50A1,12.0,,age >= 50,
C50A1,12.0,,age < 50,
