ICD10,CC,MCE_AGE_CONDITION
C779,20.0,
C7800,18.0,
C7801,18.0,
C7802,18.0,
C781,18.0,
C782,18.0,
C7830,18.0,
C7839,18.0,
C784,20.0,
C785,20.0,
C786,20.0,
C787,18.0,
C7880,18.0,
C7889,18.0,
C7900,17.0,
C7901,17.0,
C7902,17.0,
C7910,18.0,
C7911,18.0,
C7919,18.0,
C792,18.0,
C7931,18.0,
C7932,18.0,
C7940,18.0,
C7949,18.0,
C7951,17.0,
C7952,17.0,
C7960,18.0,
C7961,18.0,
C7962,18.0,
C7963,18.0,
C7970,18.0,
C7971,18.0,
C7972,18.0,
C7981,18.0,
C7982,18.0,
C7989,18.0,
C799,18.0,
C7A00,22.0,
C7A010,22.0,
C7A011,22.0,
C7A012,22.0,
C7A019,22.0,
C7A020,22.0,
C7A021,22.0,
C7A022,22.0,
C7A023,22.0,
C7A024,22.0,
C7A025,22.0,
C7A026,22.0,
C7A029,22.0,
C7A090,22.0,
C7A091,22.0,
C7A092,22.0,
C7A093,22.0,
C7A094,22.0,
C7A095,22.0,
C7A096,22.0,
C7A098,22.0,
C7A1,22.0,
C7A8,22.0,
C7B00,18.0,
C7B01,20.0,
C7B02,18.0,
C7B03,17.0,
C7B04,20.0,
C7B09,18.0,
C7B1,18.0,
C7B8,18.0,
C800,20.0,
C802,22.0,
C8100,21.0,
C8101,21.0,
C8102,21.0,
C8103,21.0,
C8104,21.0,
C8105,21.0,
C8106,21.0,
C8107,21.0,
C8108,21.0,
C8109,21.0,
C810A,21.0,
C8110,21.0,
C8111,21.0,
C8112,21.0,
C8113,21.0,
C8114,21.0,
C8115,21.0,
C8116,21.0,
C8117,21.0,
C8118,21.0,
C8119,21.0,
C811A,21.0,
C8120,21.0,
C8121,21.0,
C8122,21.0,
C8123,21.0,
C8124,21.0,
C8125,21.0,
C8126,21.0,
C8127,21.0,
C8128,21.0,
C8129,21.0,
C812A,21.0,
C8130,21.0,
C8131,21.0,
C8132,21.0,
C8133,21.0,
C8134,21.0,
C8135,21.0,
C8136,21.0,
C8137,21.0,
C8138,21.0,
C8139,21.0,
C813A,21.0,
C8140,21.0,
C8141,21.0,
C8142,21.0,
C8143,21.0,
C8144,21.0,
C8145,21.0,
C8146,21.0,
C8147,21.0,
C8148,21.0,
C8149,21.0,
C814A,21.0,
C8170,21.0,
C8171,21.0,
C8172,21.0,
C8173,21.0,
C8174,21.0,
C8175,21.0,
C8176,21.0,
C8177,21.0,
C8178,21.0,
C8179,21.0,
C817A,21.0,
C8190,21.0,
C8191,21.0,
C8192,21.0,
C8193,21.0,
C8194,21.0,
C8195,21.0,
C8196,21.0,
C8197,21.0,
C8198,21.0,
C8199,21.0,
C819A,21.0,
C8200,21.0,
C8201,21.0,
C8202,21.0,
C8203,21.0,
C8204,21.0,
C8205,21.0,
C8206,21.0,
C8207,21.0,
C8208,21.0,
C8209,21.0,
C820A,21.0,
C8210,21.0,
C8211,21.0,
C8212,21.0,
C8213,21.0,
C8214,21.0,
C8215,21.0,
C8216,21.0,
C8217,21.0,
C8218,21.0,
C8219,21.0,
C821A,21.0,
C8220,21.0,
C8221,21.0,
C8222,21.0,
C8223,21.0,
C8224,21.0,
C8225,21.0,
C8226,21.0,
C8227,21.0,
C8228,21.0,
C8229,21.0,
C822A,21.0,
C8230,21.0,
C8231,21.0,
C8232,21.0,
C8233,21.0,
C8234,21.0,
C8235,21.0,
C8236,21.0,
C8237,21.0,
C8238,21.0,
C8239,21.0,
C823A,21.0,
C8240,21.0,
C8241,21.0,
C8242,21.0,
C8243,21.0,
C8244,21.0,
C8245,21.0,
C8246,21.0,
C8247,21.0,
C8248,21.0,
C8249,21.0,
C824A,21.0,
C8250,21.0,
C8251,21.0,
C8252,21.0,
C8253,21.0,
C8254,21.0,
C8255,21.0,
C8256,21.0,
C8257,21.0,
C8258,21.0,
C8259,21.0,
C825A,21.0,
C8260,21.0,
C8261,21.0,
C8262,21.0,
C8263,21.0,
C8264,21.0,
C8265,21.0,
C8266,21.0,
C8267,21.0,
C8268,21.0,
C8269,21.0,
C826A,21.0,
C8280,21.0,
C8281,21.0,
C8282,21.0,
C8283,21.0,
C8284,21.0,
C8285,21.0,
C8286,21.0,
C8287,21.0,
C8288,21.0,
C8289,21.0,
C828A,21.0,
C8290,21.0,
C8291,21.0,
C8292,21.0,
C8293,21.0,
C8294,21.0,
C8295,21.0,
C8296,21.0,
C8297,21.0,
C8298,21.0,
C8299,21.0,
C829A,21.0,
C8300,21.0,
C8301,21.0,
C8302,21.0,
C8303,21.0,
C8304,21.0,
C8305,21.0,
C8306,21.0,
C8307,21.0,
C8308,21.0,
C8309,21.0,
C830A,21.0,
C8310,19.0,
C8311,19.0,
C8312,19.0,
C8313,19.0,
C8314,19.0,
C8315,19.0,
C8316,19.0,
C8317,19.0,
C8318,19.0,
C8319,19.0,
C831A,19.0,
C8330,21.0,
C8331,21.0,
C8332,21.0,
C8333,21.0,
C8334,21.0,
C8335,21.0,
C8336,21.0,
C8337,21.0,
C8338,21.0,
C83390,21.0,
C83398,21.0,
C833A,21.0,
C8350,21.0,
C8351,21.0,
C8352,21.0,
C8353,21.0,
C8354,21.0,
C8355,21.0,
C8356,21.0,
C8357,21.0,
C8358,21.0,
C8359,21.0,
C835A,21.0,
C8370,21.0,
C8371,21.0,
C8372,21.0,
C8373,21.0,
C8374,21.0,
C8375,21.0,
C8376,21.0,
C8377,21.0,
C8378,21.0,
C8379,21.0,
C837A,21.0,
C8380,21.0,
C8381,21.0,
C8382,21.0,
C8383,21.0,
C8384,21.0,
C8385,21.0,
C8386,21.0,
C8387,21.0,
C8388,21.0,
C8389,21.0,
C838A,21.0,
C8390,21.0,
C8391,21.0,
C8392,21.0,
C8393,21.0,
C8394,21.0,
C8395,21.0,
C8396,21.0,
C8397,21.0,
C8398,21.0,
C8399,21.0,
C839A,21.0,
C8400,19.0,
C8401,19.0,
C8402,19.0,
C8403,19.0,
C8404,19.0,
C8405,19.0,
C8406,19.0,
C8407,19.0,
C8408,19.0,
C8409,19.0,
C840A,19.0,
C8410,19.0,
C8411,19.0,
C8412,19.0,
C8413,19.0,
C8414,19.0,
C8415,19.0,
C8416,19.0,
C8417,19.0,
C8418,19.0,
C8419,19.0,
C841A,19.0,
C8440,21.0,
C8441,21.0,
C8442,21.0,
C8443,21.0,
C8444,21.0,
C8445,21.0,
C8446,21.0,
C8447,21.0,
C8448,21.0,
C8449,21.0,
C844A,21.0,
C8460,21.0,
C8461,21.0,
C8462,21.0,
C8463,21.0,
C8464,21.0,
C8465,21.0,
C8466,21.0,
C8467,21.0,
C8468,21.0,
C8469,21.0,
C846A,21.0,
C8470,21.0,
C8471,21.0,
C8472,21.0,
C8473,21.0,
C8474,21.0,
C8475,21.0,
C8476,21.0,
C8477,21.0,
C8478,21.0,
C8479,21.0,
C847A,21.0,
C847B,21.0,
C8490,21.0,
C8491,21.0,
C8492,21.0,
C8493,21.0,
C8494,21.0,
C8495,21.0,
C8496,21.0,
C8497,21.0,
C8498,21.0,
C8499,21.0,
C849A,21.0,
C84A0,21.0,
C84A1,21.0,
C84A2,21.0,
C84A3,21.0,
C84A4,21.0,
C84A5,21.0,
C84A6,21.0,
C84A7,21.0,
C84A8,21.0,
C84A9,21.0,
C84AA,21.0,
C84Z0,21.0,
C84Z1,21.0,
C84Z2,21.0,
C84Z3,21.0,
C84Z4,21.0,
C84Z5,21.0,
C84Z6,21.0,
C84Z7,21.0,
C84Z8,21.0,
C84Z9,21.0,
C84ZA,21.0,
C8510,21.0,
C8511,21.0,
C8512,21.0,
C8513,21.0,
C8514,21.0,
C8515,21.0,
C8516,21.0,
C8517,21.0,
C8518,21.0,
C8519,21.0,
C851A,21.0,
C8520,21.0,
C8521,21.0,
C8522,21.0,
C8523,21.0,
C8524,21.0,
C8525,21.0,
C8526,21.0,
C8527,21.0,
C8528,21.0,
C8529,21.0,
C852A,21.0,
C8580,21.0,
C8581,21.0,
C8582,21.0,
C8583,21.0,
C8584,21.0,
C8585,21.0,
C8586,21.0,
C8587,21.0,
C8588,21.0,
C8589,21.0,
C858A,21.0,
C8590,21.0,
C8591,21.0,
C8592,21.0,
C8593,21.0,
C8594,21.0,
C8595,21.0,
C8596,21.0,
C8597,21.0,
C8598,21.0,
C8599,21.0,
C859A,21.0,
C8600,21.0,
C8601,21.0,
C8610,21.0,
C8611,21.0,
C8620,21.0,
C8621,21.0,
C8630,21.0,
C8631,21.0,
C8640,21.0,
C8641,21.0,
C8650,21.0,
C8651,21.0,
C8660,21.0,
C8661,21.0,
C8800,19.0,
C8801,19.0,
C8820,21.0,
C8821,21.0,
C8830,21.0,
C8831,21.0,
C8840,21.0,
C8841,21.0,
C8880,21.0,
C8881,21.0,
C8890,21.0,
C8891,21.0,
C9000,16.0,
C9001,16.0,
C9002,16.0,
C9010,16.0,
C9011,16.0,
C9012,16.0,
C9020,16.0,
C9021,16.0,
C9022,16.0,
C9030,16.0,
C9031,16.0,
C9032,16.0,
C9100,19.0,
C9101,19.0,
C9102,19.0,
C9110,19.0,
C9111,19.0,
C9112,19.0,
C9130,19.0,
C9131,19.0,
C9132,19.0,
C9140,21.0,
C9141,21.0,
C9142,21.0,
C9150,19.0,age >= 15
C9151,19.0,age >= 15
C9152,19.0,age >= 15
C9160,19.0,
C9161,19.0,
C9162,19.0,
C9190,19.0,
C9191,19.0,
C9192,19.0,
C91A0,19.0,
C91A1,19.0,
C91A2,19.0,
C91Z0,19.0,
C91Z1,19.0,
C91Z2,19.0,
C9200,19.0,
C9201,19.0,
C9202,19.0,
C9210,15.0,
C9211,15.0,
C9212,15.0,
C9220,19.0,
C9221,19.0,
C9222,19.0,
C9230,19.0,
C9231,19.0,
C9232,19.0,
C9240,21.0,
C9241,21.0,
C9242,21.0,
C9250,19.0,
C9251,19.0,
C9252,19.0,
C9260,19.0,
C9261,19.0,
C9262,19.0,
C9290,19.0,
C9291,19.0,
C9292,19.0,
C92A0,19.0,
C92A1,19.0,
C92A2,19.0,
C92Z0,19.0,
C92Z1,19.0,
C92Z2,19.0,
C9300,19.0,
C9301,19.0,
C9302,19.0,
C9310,19.0,
C9311,19.0,
C9312,19.0,
C9330,19.0,0 <= age <= 17
C9331,19.0,0 <= age <= 17
C9332,19.0,0 <= age <= 17
C9390,19.0,
C9391,19.0,
C9392,19.0,
C93Z0,19.0,
C93Z1,19.0,
C93Z2,19.0,
C9400,19.0,
C9401,19.0,
C9402,19.0,
C9420,19.0,
C9421,19.0,
C9422,19.0,
C9430,19.0,
C9431,19.0,
C9432,19.0,
C9440,19.0,
C9441,19.0,
C9442,19.0,
C946,21.0,
C9480,19.0,
C9481,19.0,
C9482,19.0,
C9500,19.0,
C9501,19.0,
C9502,19.0,
C9510,19.0,
C9511,19.0,
C9512,19.0,
C9590,19.0,
C9591,19.0,
C9592,19.0,
C960,21.0,
C9620,21.0,
C9621,21.0,
C9622,21.0,
C9629,21.0,
C964,21.0,
C965,21.0,
C966,21.0,
C969,21.0,
C96A,21.0,
C96Z,21.0,
D030,22.0,
D0310,22.0,
D03111,22.0,
D03112,22.0,
D03121,22.0,
D03122,22.0,
D0320,22.0,
D0321,22.0,
D0322,22.0,
D0330,22.0,
D0339,22.0,
D034,22.0,
D0351,22.0,
D0352,22.0,
D0359,22.0,
D0360,22.0,
D0361,22.0,
D0362,22.0,
D0370,22.0,
D0371,22.0,
D0372,22.0,
D038,22.0,
D039,22.0,
D1802,22.0,
D320,22.0,
D321,22.0,
D329,22.0,
D330,22.0,
D331,22.0,
D332,22.0,
D333,22.0,
D334,22.0,
D337,22.0,
D339,22.0,
D352,22.0,
D353,22.0,
D354,22.0,
D3A00,22.0,
D3A010,22.0,
D3A011,22.0,
D3A012,22.0,
D3A019,22.0,
D3A020,22.0,
D3A021,22.0,
D3A022,22.0,
D3A023,22.0,
D3A024,22.0,
D3A025,22.0,
D3A026,22.0,
D3A029,22.0,
D3A090,22.0,
D3A091,22.0,
D3A092,22.0,
D3A093,22.0,
D3A094,22.0,
D3A095,22.0,
D3A096,22.0,
D3A098,22.0,
D3A8,22.0,
D420,22.0,
D421,22.0,
D429,22.0,
D430,22.0,
D431,22.0,
D432,22.0,
D433,22.0,
D434,22.0,
D438,22.0,
D439,22.0,
D443,22.0,
D444,22.0,
D445,22.0,
D446,22.0,
D447,22.0,
D45,21.0,
D460,19.0,
D461,19.0,
D4620,19.0,
D4621,19.0,
D4622,19.0,
D464,19.0,
D469,19.0,
D46A,19.0,
D46B,19.0,
D46C,16.0,
D46Z,19.0,
D4701,21.0,
D4702,21.0,
D4709,21.0,
D471,21.0,
D473,21.0,
D474,16.0,
D479,21.0,
D47Z2,21.0,
D47Z9,21.0,
D496,22.0,
D5700,95.0,
D5701,95.0,
D5702,95.0,
D5703,95.0,
D5704,95.0,
D5709,95.0,
D571,95.0,
D5742,95.0,
D57431,95.0,
D57432,95.0,
D57433,95.0,
D57434,95.0,
D57438,95.0,
D57439,95.0,
D590,96.0,
D5910,96.0,
D5911,96.0,
D5912,96.0,
D5913,96.0,
D5919,96.0,
D592,96.0,
D5930,96.0,
D5931,96.0,
D5932,96.0,
D5939,96.0,
D594,96.0,
D595,96.0,
D596,96.0,
D598,96.0,
D599,96.0,
D600,96.0,
D601,96.0,
D608,96.0,
D609,96.0,
D6101,96.0,
D6102,96.0,
D6103,96.0,
D6109,96.0,
D611,96.0,
D612,96.0,
D613,96.0,
D6182,96.0,
D6189,96.0,
D619,96.0,
D640,96.0,
D641,96.0,
D642,96.0,
D643,96.0,
D693,100.0,
D7581,16.0,
D800,99.0,
D801,99.0,
D802,99.0,
D803,99.0,
D804,99.0,
D805,99.0,
D806,99.0,
D807,99.0,
D808,99.0,
D809,99.0,
D810,99.0,
D811,99.0,
D812,99.0,
D8130,99.0,
D8131,99.0,
D8132,99.0,
D8139,99.0,
D814,99.0,
D815,99.0,
D816,99.0,
D817,99.0,
D8182,99.0,
D8189,99.0,
D819,99.0,
D820,99.0,
D821,99.0,
D822,99.0,
D823,99.0,
D824,99.0,
D828,99.0,
D829,99.0,
D830,99.0,
D831,99.0,
D832,99.0,
D838,99.0,
D839,99.0,
D840,99.0,
D841,98.0,
D8481,99.0,
D84821,99.0,
D84822,99.0,
D8489,99.0,
D849,99.0,
D860,227.0,
D862,227.0,
D8682,158.0,
D890,99.0,
D891,99.0,
D893,99.0,
D8940,99.0,
D8941,99.0,
D8942,99.0,
D8943,99.0,
D8944,99.0,
D8949,99.0,
D89810,395.0,
D89811,395.0,
D89812,395.0,
D89813,395.0,
D8984,99.0,
D8989,99.0,
D899,99.0,
E000,44.0,
E001,44.0,
E002,44.0,
E009,44.0,
E010,44.0,
E011,44.0,
E012,44.0,
E018,44.0,
E02,44.0,
E030,44.0,
E031,44.0,
E032,44.0,
E033,44.0,
E034,44.0,
E035,44.0,
E038,44.0,
E039,44.0,
E040,44.0,
E041,44.0,
E042,44.0,
E048,44.0,
E049,44.0,
E0500,44.0,
E0501,44.0,
E0510,44.0,
E0511,44.0,
E0520,44.0,
E0521,44.0,
E0530,44.0,
E0531,44.0,
E0540,44.0,
E0541,44.0,
E0580,44.0,
E0581,44.0,
E0590,44.0,
E0591,44.0,
E060,44.0,
E061,44.0,
E062,44.0,
E063,44.0,
E064,44.0,
E065,44.0,
E069,44.0,
E070,44.0,
E071,44.0,
E0789,44.0,
E079,44.0,
E0800,30.0,
E0801,30.0,
E0810,30.0,
E0811,30.0,
E0821,30.0,
E0822,30.0,
E0829,30.0,
E08311,30.0,
E08319,30.0,
E083211,30.0,
E083212,30.0,
E083213,30.0,
E083219,30.0,
E083291,30.0,
E083292,30.0,
E083293,30.0,
E083299,30.0,
E083311,30.0,
E083312,30.0,
E083313,30.0,
E083319,30.0,
E083391,30.0,
E083392,30.0,
E083393,30.0,
E083399,30.0,
E083411,30.0,
E083412,30.0,
E083413,30.0,
E083419,30.0,
E083491,30.0,
E083492,30.0,
E083493,30.0,
E083499,30.0,
E083511,30.0,
E083512,30.0,
E083513,30.0,
E083519,30.0,
E083521,30.0,
E083522,30.0,
E083523,30.0,
E083529,30.0,
E083531,30.0,
E083532,30.0,
E083533,30.0,
E083539,30.0,
E083541,30.0,
E083542,30.0,
E083543,30.0,
E083549,30.0,
E083551,30.0,
E083552,30.0,
E083553,30.0,
E083559,30.0,
E083591,30.0,
E083592,30.0,
E083593,30.0,
E083599,30.0,
E0836,30.0,
E0837X1,30.0,
E0837X2,30.0,
E0837X3,30.0,
E0837X9,30.0,
E0839,30.0,
E0840,30.0,
E0841,30.0,
E0842,30.0,
E0843,30.0,
E0844,30.0,
E0849,30.0,
E0851,30.0,
E0852,30.0,
E0859,30.0,
E08610,30.0,
E08618,30.0,
E08620,30.0,
E08621,30.0,
E08621,311.0,
E08622,30.0,
E08622,311.0,
E08628,30.0,
E08630,30.0,
E08638,30.0,
E08641,30.0,
E08649,30.0,
E0865,30.0,
E0869,30.0,
E088,30.0,
E089,31.0,
E0900,30.0,
E0901,30.0,
E0910,30.0,
E0911,30.0,
E0921,30.0,
E0922,30.0,
E0929,30.0,
E09311,30.0,
E09319,30.0,
E093211,30.0,
E093212,30.0,
E093213,30.0,
E093219,30.0,
E093291,30.0,
E093292,30.0,
E093293,30.0,
E093299,30.0,
E093311,30.0,
E093312,30.0,
E093313,30.0,
E093319,30.0,
E093391,30.0,
E093392,30.0,
E093393,30.0,
E093399,30.0,
