ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C7960,18.0,,,
C7961,18.0,,,
C7962,18.0,,,
C7963,18.0,,,
C7970,17.0,,,
C7971,17.0,,,
C7972,17.0,,,
C7981,18.0,,,
C7982,18.0,,,
C7989,18.0,,,
C799,18.0,,,
C7A00,21.0,,,
C7A010,21.0,,,
C7A011,21.0,,,
C7A012,21.0,,,
C7A019,21.0,,,
C7A020,21.0,,,
C7A021,21.0,,,
C7A022,21.0,,,
C7A023,21.0,,,
C7A024,21.0,,,
C7A025,21.0,,,
C7A026,21.0,,,
C7A029,21.0,,,
C7A090,21.0,,,
C7A091,21.0,,,
C7A092,21.0,,,
C7A093,21.0,,,
C7A094,21.0,,,
C7A095,21.0,,,
C7A096,21.0,,,
C7A098,21.0,,,
C7A1,21.0,,,
C7A8,21.0,,,
C7B00,17.0,,,
C7B01,17.0,,,
C7B02,17.0,,,
C7B03,17.0,,,
C7B04,17.0,,,
C7B09,17.0,,,
C7B1,17.0,,,
C7B8,17.0,,,
C800,18.0,,,
C801,23.0,,,
C802,23.0,,,
C8100,21.0,,,
C8101,21.0,,,
C8102,21.0,,,
C8103,21.0,,,
C8104,21.0,,,
C8105,21.0,,,
C8106,21.0,,,
C8107,21.0,,,
C8108,21.0,,,
C8109,21.0,,,
C810A,21.0,,,
C8110,21.0,,,
C8111,21.0,,,
C8112,21.0,,,
C8113,21.0,,,
C8114,21.0,,,
C8115,21.0,,,
C8116,21.0,,,
C8117,21.0,,,
C8118,21.0,,,
C8119,21.0,,,
C811A,21.0,,,
C8120,21.0,,,
C8121,21.0,,,
C8122,21.0,,,
C8123,21.0,,,
C8124,21.0,,,
C8125,21.0,,,
C8126,21.0,,,
C8127,21.0,,,
C8128,21.0,,,
C8129,21.0,,,
C812A,21.0,,,
C8130,21.0,,,
C8131,21.0,,,
C8132,21.0,,,
C8133,21.0,,,
C8134,21.0,,,
C8135,21.0,,,
C8136,21.0,,,
C8137,21.0,,,
C8138,21.0,,,
C8139,21.0,,,
C813A,21.0,,,
C8140,21.0,,,
C8141,21.0,,,
C8142,21.0,,,
C8143,21.0,,,
C8144,21.0,,,
C8145,21.0,,,
C8146,21.0,,,
C8147,21.0,,,
C8148,21.0,,,
C8149,21.0,,,
C814A,21.0,,,
C8170,21.0,,,
C8171,21.0,,,
C8172,21.0,,,
C8173,21.0,,,
C8174,21.0,,,
C8175,21.0,,,
C8176,21.0,,,
C8177,21.0,,,
C8178,21.0,,,
C8179,21.0,,,
C817A,21.0,,,
C8190,21.0,,,
C8191,21.0,,,
C8192,21.0,,,
C8193,21.0,,,
C8194,21.0,,,
C8195,21.0,,,
C8196,21.0,,,
C8197,21.0,,,
C8198,21.0,,,
C8199,21.0,,,
C819A,21.0,,,
C8200,21.0,,,
C8201,21.0,,,
C8202,21.0,,,
C8203,21.0,,,
C8204,21.0,,,
C8205,21.0,,,
C8206,21.0,,,
C8207,21.0,,,
C8208,21.0,,,
C8209,21.0,,,
C820A,21.0,,,
C8210,21.0,,,
C8211,21.0,,,
C8212,21.0,,,
C8213,21.0,,,
C8214,21.0,,,
C8215,21.0,,,
C8216,21.0,,,
C8217,21.0,,,
C8218,21.0,,,
C8219,21.0,,,
C821A,21.0,,,
C8220,21.0,,,
C8221,21.0,,,
C8222,21.0,,,
C8223,21.0,,,
C8224,21.0,,,
C8225,21.0,,,
C8226,21.0,,,
C8227,21.0,,,
C8228,21.0,,,
C8229,21.0,,,
C822A,21.0,,,
C8230,21.0,,,
C8231,21.0,,,
C8232,21.0,,,
C8233,21.0,,,
C8234,21.0,,,
C8235,21.0,,,
C8236,21.0,,,
C8237,21.0,,,
C8238,21.0,,,
C8239,21.0,,,
C823A,21.0,,,
C8240,21.0,,,
C8241,21.0,,,
C8242,21.0,,,
C8243,21.0,,,
C8244,21.0,,,
C8245,21.0,,,
C8246,21.0,,,
C8247,21.0,,,
C8248,21.0,,,
C8249,21.0,,,
C824A,21.0,,,
C8250,21.0,,,
C8251,21.0,,,
C8252,21.0,,,
C8253,21.0,,,
C8254,21.0,,,
C8255,21.0,,,
C8256,21.0,,,
C8257,21.0,,,
C8258,21.0,,,
C8259,21.0,,,
C825A,21.0,,,
C8260,21.0,,,
C8261,21.0,,,
C8262,21.0,,,
C8263,21.0,,,
C8264,21.0,,,
C8265,21.0,,,
C8266,21.0,,,
C8267,21.0,,,
C8268,21.0,,,
C8269,21.0,,,
C826A,21.0,,,
C8280,21.0,,,
C8281,21.0,,,
C8282,21.0,,,
C8283,21.0,,,
C8284,21.0,,,
C8285,21.0,,,
C8286,21.0,,,
C8287,21.0,,,
C8288,21.0,,,
C8289,21.0,,,
C828A,21.0,,,
C8290,21.0,,,
C8291,21.0,,,
C8292,21.0,,,
C8293,21.0,,,
C8294,21.0,,,
C8295,21.0,,,
C8296,21.0,,,
C8297,21.0,,,
C8298,21.0,,,
C8299,21.0,,,
C829A,21.0,,,
C8300,21.0,,,
C8301,21.0,,,
C8302,21.0,,,
C8303,21.0,,,
C8304,21.0,,,
C8305,21.0,,,
C8306,21.0,,,
C8307,21.0,,,
C8308,21.0,,,
C8309,21.0,,,
C830A,21.0,,,
C8310,20.0,,,
C8311,20.0,,,
C8312,20.0,,,
C8313,20.0,,,
C8314,20.0,,,
C8315,20.0,,,
C8316,20.0,,,
C8317,20.0,,,
C8318,20.0,,,
C8319,20.0,,,
C831A,20.0,,,
C8330,20.0,,,
C8331,20.0,,,
C8332,20.0,,,
C8333,20.0,,,
C8334,20.0,,,
C8335,20.0,,,
C8336,20.0,,,
C8337,20.0,,,
C8338,20.0,,,
C83390,20.0,,,
C83398,20.0,,,
C833A,20.0,,,
C8350,20.0,,,
C8351,20.0,,,
C8352,20.0,,,
C8353,20.0,,,
C8354,20.0,,,
C8355,20.0,,,
C8356,20.0,,,
C8357,20.0,,,
C8358,20.0,,,
C8359,20.0,,,
C835A,20.0,,,
C8370,20.0,,,
C8371,20.0,,,
C8372,20.0,,,
C8373,20.0,,,
C8374,20.0,,,
C8375,20.0,,,
C8376,20.0,,,
C8377,20.0,,,
C8378,20.0,,,
C8379,20.0,,,
C837A,20.0,,,
C8380,21.0,,,
C8381,21.0,,,
C8382,21.0,,,
